accel,filter_accel,velocity,distance,pressure,temp,altitude,high
0.020205,0.002682,0.000000,0.000000,99377.220000,25.690000,169.087423,-0.014000
-0.006462,0.002711,0.000000,0.000000,99377.220000,25.690000,169.087423,-0.014000
-0.020520,0.002679,0.000000,0.000000,99377.150000,25.690000,169.093547,-0.007875
-0.003466,0.002506,0.000000,0.000000,99377.150000,25.690000,169.093547,-0.007875
0.032373,0.002344,0.000000,0.000000,99377.150000,25.690000,169.093547,-0.007875
-0.017423,0.002285,0.000000,0.000000,99377.150000,25.690000,169.093547,-0.007875
-0.005426,0.002194,0.000000,0.000000,99377.150000,25.690000,169.093547,-0.007875
-0.001111,0.002024,0.000000,0.000000,99377.150000,25.690000,169.093547,-0.007875
0.006468,0.001856,0.000000,0.000000,99377.030000,25.690000,169.104047,0.002625
0.006554,0.001735,0.000000,0.000000,99377.030000,25.690000,169.104047,0.002625
0.030311,0.001732,0.000000,0.000000,99377.030000,25.690000,169.104047,0.002625
-0.000712,0.001869,0.000000,0.000000,99377.030000,25.690000,169.104047,0.002625
0.025668,0.002099,0.000000,0.000000,99377.030000,25.690000,169.104047,0.002625
-0.007785,0.002380,0.000000,0.000000,99377.030000,25.690000,169.104047,0.002625
0.030470,0.002697,0.000000,0.000000,99377.030000,25.690000,169.104047,0.002625
-0.007990,0.003053,0.000000,0.000000,99377.030000,25.690000,169.104047,0.002625
0.023133,0.003422,0.000000,0.000000,99377.030000,25.690000,169.104047,0.002625
-0.019925,0.003752,0.000000,0.000000,99377.030000,25.690000,169.104047,0.002625
0.006533,0.003980,0.000000,0.000000,99377.030000,25.690000,169.104047,0.002625
0.013263,0.004155,0.000000,0.000000,99377.030000,25.690000,169.104047,0.002625
-0.000863,0.004343,0.000000,0.000000,99377.030000,25.690000,169.104047,0.002625
-0.012776,0.004463,0.000000,0.000000,99376.900000,25.690000,169.115422,0.014000
-0.015257,0.004426,0.000000,0.000000,99376.900000,25.690000,169.115422,0.014000
-0.005852,0.004237,0.000000,0.000000,99376.900000,25.690000,169.115422,0.014000
0.020463,0.004018,0.000000,0.000000,99376.900000,25.690000,169.115422,0.014000
0.025701,0.003933,0.000000,0.000000,99376.900000,25.690000,169.115422,0.014000
-0.017744,0.003949,0.000000,0.000000,99376.900000,25.690000,169.115422,0.014000
-0.000877,0.003902,0.000000,0.000000,99376.900000,25.690000,169.115422,0.014000
-0.024568,0.003719,0.000000,0.000000,99376.830000,25.700000,169.127206,0.025784
-0.010332,0.003384,0.000000,0.000000,99376.830000,25.700000,169.127206,0.025784
0.051812,0.003077,0.000000,0.000000,99376.830000,25.700000,169.127206,0.025784
0.010813,0.003027,0.000000,0.000000,99376.830000,25.700000,169.127206,0.025784
0.008588,0.003148,0.000000,0.000000,99376.830000,25.700000,169.127206,0.025784
0.016166,0.003328,0.000000,0.000000,99376.830000,25.700000,169.127206,0.025784
0.011294,0.003575,0.000000,0.000000,99376.740000,25.700000,169.135081,0.033659
0.011192,0.003874,0.000000,0.000000,99376.740000,25.700000,169.135081,0.033659
0.008706,0.004196,0.000000,0.000000,99376.740000,25.700000,169.135081,0.033659
-0.012618,0.004474,0.000000,0.000000,99376.740000,25.700000,169.135081,0.033659
0.004045,0.004644,0.000000,0.000000,99376.740000,25.700000,169.135081,0.033659
0.008878,0.004757,0.000000,0.000000,99376.740000,25.700000,169.135081,0.033659
0.015585,0.004899,0.000000,0.000000,99376.740000,25.700000,169.135081,0.033659
0.001119,0.005073,0.000000,0.000000,99376.740000,25.700000,169.135081,0.033659
0.018407,0.005261,0.000000,0.000000,99376.740000,25.700000,169.135081,0.033659
-0.010815,0.005439,0.000000,0.000000,99376.740000,25.700000,169.135081,0.033659
-0.003293,0.005526,0.000000,0.000000,99376.740000,25.700000,169.135081,0.033659
