Keuwl Accelerometer Data File
2025-03-31 16:44:57

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
5.6508684,-0.127418,10.076775,-0.154337,10.078762,90.877411,90.724449
5.6717215,-0.135793,10.079167,-0.150150,10.081201,90.853394,90.771873
5.6925740,-0.132802,10.104292,-0.177069,10.106716,91.003868,90.752998
5.7134266,-0.130409,10.106087,-0.136391,10.107848,90.773148,90.739304
5.7342825,-0.125623,10.116854,-0.153141,10.118793,90.867165,90.711418
5.7551370,-0.147159,10.130613,-0.126221,10.132468,90.713760,90.832230
5.7759914,-0.134596,10.149158,-0.159721,10.151307,90.901527,90.759804
5.7968469,-0.139980,10.146765,-0.149551,10.148832,90.844330,90.790375
5.8177013,-0.134596,10.169497,-0.174676,10.171887,90.983955,90.758286
5.8385549,-0.133998,10.181460,-0.141177,10.183320,90.794350,90.754028
5.8594108,-0.138784,10.186246,-0.142373,10.188187,90.800697,90.780586
5.8802652,-0.120838,10.201201,-0.153141,10.203067,90.860001,90.678658
5.9011197,-0.133400,10.207183,-0.170489,10.209478,90.956833,90.748772
5.9219704,-0.132802,10.226326,-0.151944,10.228317,90.851173,90.744019
5.9428248,-0.124427,10.220942,-0.159123,10.222938,90.891861,90.697464
5.9636779,-0.122632,10.245468,-0.163310,10.247503,90.913139,90.685760
5.9845304,-0.129811,10.226924,-0.154337,10.228912,90.864532,90.727219
6.0053854,-0.120838,10.247861,-0.134596,10.249457,90.752434,90.675568
6.0262418,-0.125623,10.262816,-0.162114,10.264866,90.904915,90.701302
6.0470963,-0.126820,10.270593,-0.145364,10.272405,90.810814,90.707443
6.0679488,-0.143569,10.269397,-0.133998,10.271275,90.747498,90.800964
6.0888042,-0.138784,10.290334,-0.141177,10.292238,90.785942,90.772690
6.1096578,-0.131605,10.307682,-0.130409,10.309347,90.724785,90.731491
6.1305122,-0.137587,10.307083,-0.154935,10.309165,90.861122,90.764786
6.1513667,-0.136989,10.325029,-0.160319,10.327183,90.889496,90.760139
6.1722202,-0.132203,10.326226,-0.148953,10.328147,90.826355,90.733498
6.1930752,-0.123230,10.332807,-0.125025,10.334297,90.693184,90.683281
6.2139292,-0.128016,10.339387,-0.126221,10.340950,90.699371,90.709366
6.2347846,-0.130409,10.348360,-0.125623,10.349944,90.695450,90.722000
6.2556372,-0.137587,10.336994,-0.144766,10.338923,90.802284,90.762573
6.2764912,-0.125623,10.345368,-0.139980,10.347077,90.775146,90.695702
6.2973485,-0.121436,10.331012,-0.131605,10.332563,90.729790,90.673454
6.3182044,-0.123829,10.311870,-0.143569,10.313613,90.797607,90.687996
6.3390565,-0.142971,10.326226,-0.126820,10.327994,90.703568,90.793236
6.3599110,-0.135793,10.301102,-0.139382,10.302939,90.775139,90.755249
6.3807635,-0.151346,10.310673,-0.142373,10.312766,90.791023,90.840958
6.4016175,-0.145962,10.307682,-0.147757,10.309774,90.821175,90.811287
6.4224706,-0.132802,10.304092,-0.141177,10.305915,90.784897,90.738403
6.4433236,-0.132802,10.293324,-0.131605,10.295022,90.732452,90.739174
6.4641781,-0.116650,10.294521,-0.127418,10.295971,90.709084,90.649208
6.4850316,-0.120838,10.265807,-0.141775,10.267497,90.791168,90.674393
6.5058842,-0.118445,10.298709,-0.157328,10.300591,90.875153,90.658928
6.5267382,-0.111864,10.304092,-0.126221,10.305472,90.701775,90.621994
6.5475898,-0.117248,10.299307,-0.157328,10.301176,90.875099,90.652229
6.5684433,-0.102891,10.313066,-0.143569,10.314578,90.797531,90.571609
6.5892954,-0.093320,10.329217,-0.118445,10.330317,90.656952,90.517632
6.6101475,-0.130409,10.322039,-0.144168,10.323869,90.800133,90.723839
6.6309981,-0.169890,10.316655,-0.101097,10.318549,90.561371,90.943436
6.6518488,-0.175872,10.332807,-0.186042,10.335978,91.031349,90.975128
6.6726985,-0.180658,10.333405,-0.158524,10.336200,90.878769,91.001595
6.6935525,-0.183051,10.318449,-0.145364,10.321096,90.806992,91.016327
6.7144065,-0.171087,10.322039,-0.114257,10.324089,90.634109,90.949585
6.7352595,-0.119043,10.322637,-0.127418,10.324109,90.707146,90.660721
6.7561135,-0.123230,10.328619,-0.145962,10.330385,90.809586,90.683563
6.7769666,-0.111266,10.320843,-0.139382,10.322384,90.773682,90.617668
6.7978187,-0.105284,10.298110,-0.108873,10.299224,90.605690,90.585754
6.8186707,-0.107079,10.310075,-0.111266,10.311232,90.618279,90.595047
6.8395238,-0.110668,10.311271,-0.128614,10.312667,90.714584,90.614914
6.8603778,-0.127418,10.310075,-0.166899,10.312213,90.927353,90.708061
6.8812304,-0.121436,10.326226,-0.133400,10.327802,90.740089,90.673767
6.9020815,-0.162712,10.316056,-0.126221,10.318111,90.700920,90.903633
6.9229336,-0.159123,10.298110,-0.105882,10.299884,90.589012,90.885246
6.9437861,-0.144766,10.319048,-0.124427,10.320813,90.690773,90.803749
6.9646373,-0.137587,10.307682,-0.146560,10.309642,90.814537,90.764740
6.9854889,-0.143569,10.317851,-0.153739,10.319995,90.853577,90.797203
7.0063386,-0.146560,10.327422,-0.145364,10.329485,90.806335,90.813049
7.0271907,-0.149551,10.315458,-0.116052,10.317195,90.644501,90.830605
7.0480413,-0.133400,10.314262,-0.152542,10.316253,90.847244,90.740997
7.0688920,-0.132203,10.302896,-0.151944,10.304865,90.844849,90.735161
7.0897460,-0.132203,10.314262,-0.131007,10.315942,90.727646,90.734352
7.1106038,-0.111266,10.319048,-0.111864,10.320254,90.621056,90.617775
7.1314664,-0.102293,10.302298,-0.123829,10.303550,90.688599,90.568878
7.1523290,-0.121436,10.322039,-0.156730,10.323943,90.869850,90.674034
7.1731877,-0.107677,10.307682,-0.151944,10.309364,90.844482,90.598503
7.1940436,-0.155533,10.320843,-0.138784,10.322948,90.770317,90.863373
7.2148981,-0.147159,10.302896,-0.129811,10.304765,90.721779,90.818314
7.2357497,-0.151346,10.308878,-0.125025,10.310747,90.694771,90.841110
7.2566013,-0.140578,10.299905,-0.174078,10.302335,90.968170,90.781952
7.2774549,-0.177069,10.304092,-0.136391,10.306517,90.758247,90.984489
7.2983088,-0.139382,10.295717,-0.143569,10.297662,90.798843,90.775612
7.3191628,-0.148953,10.314262,-0.132203,10.316185,90.734276,90.827377
7.3400149,-0.125025,10.323833,-0.135194,10.325476,90.750214,90.693840
7.3608689,-0.119641,10.322637,-0.120239,10.324030,90.667313,90.664040
7.3817225,-0.114257,10.311870,-0.144766,10.313519,90.804260,90.634819
7.4025750,-0.111864,10.316655,-0.108275,10.317830,90.601273,90.621239
7.4234285,-0.119043,10.332209,-0.162114,10.334166,90.898842,90.660103
7.4442801,-0.131605,10.327422,-0.102293,10.328767,90.567451,90.730095
7.4651327,-0.132802,10.319646,-0.159721,10.321736,90.886642,90.737289
7.4859862,-0.123230,10.312468,-0.146560,10.314244,90.814171,90.684631
