Keuwl Accelerometer Data File
2025-03-31 16:46:37

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.4440065,-0.079561,9.851849,-0.055633,9.852327,90.323532,90.462700
0.4464602,-0.046062,9.890134,-0.072383,9.890506,90.419319,90.266846
0.4489132,-0.067597,9.830314,-0.093918,9.830995,90.547371,90.393982
0.4513664,-0.048455,9.825528,-0.101097,9.826168,90.589500,90.282555
0.4538196,-0.048455,9.854242,-0.113061,9.855010,90.657333,90.281731
0.4562729,-0.034098,9.851849,-0.108275,9.852503,90.629669,90.198303
0.4587259,-0.055633,9.861421,-0.105882,9.862146,90.615150,90.323227
0.4611787,-0.055633,9.837492,-0.089133,9.838053,90.519104,90.324013
0.4636317,-0.058026,9.854242,-0.089133,9.854816,90.518227,90.337379
0.4660848,-0.046062,9.859028,-0.086740,9.859517,90.504074,90.267685
0.4685380,-0.069990,9.868599,-0.096311,9.869317,90.559135,90.406349
0.4709909,-0.036491,9.837492,-0.089133,9.837963,90.519112,90.212524
0.4734438,-0.043669,9.837492,-0.081954,9.837930,90.477303,90.254333
0.4758969,-0.067597,9.844670,-0.055633,9.845059,90.323776,90.393410
0.4783499,-0.067597,9.830314,-0.081954,9.830888,90.477646,90.393982
0.4808032,-0.060419,9.854242,-0.103490,9.854971,90.601692,90.351288
0.4832567,-0.065204,9.830314,-0.098704,9.831025,90.575264,90.380035
0.4857098,-0.079561,9.830314,-0.146560,9.831728,90.854134,90.463715
0.4881624,-0.089133,9.825528,-0.141775,9.826955,90.826645,90.519745
0.4906156,-0.031705,9.863813,-0.172881,9.865379,91.004105,90.184166
0.4930688,-0.069990,9.854242,-0.182453,9.856180,91.060692,90.406937
0.4955219,-0.050847,9.847063,-0.136989,9.848147,90.797020,90.295860
0.4979750,-0.019741,9.835099,-0.148953,9.836247,90.867683,90.115005
0.5004278,-0.072383,9.827921,-0.196810,9.830158,91.147194,90.421974
0.5028806,-0.086740,9.835099,-0.163310,9.836838,90.951263,90.505302
0.5053341,-0.050847,9.847063,-0.148953,9.848321,90.866615,90.295860
0.5077876,-0.110668,9.844670,-0.139382,9.846278,90.811096,90.644058
0.5102407,-0.062812,9.873384,-0.160917,9.874895,90.933708,90.364494
0.5126939,-0.093918,9.830314,-0.105882,9.831332,90.617081,90.547386
0.5151469,-0.048455,9.849456,-0.125025,9.850368,90.727242,90.281868
